"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"СГНЛ"	"LСГНЛ"	"VAL"
"Численность населения на начало периода(Человек)"	"2001 год"	"200112"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"357 859"
"Численность населения на начало периода(Человек)"	"2008 год"	"200812"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"333 559"
"Численность населения на начало периода(Человек)"	"2009 год"	"200912"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"342 188"
"Численность населения на начало периода(Человек)"	"2006 год"	"200612"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"354 580"
"Численность населения на начало периода(Человек)"	"2019 год"	"201912"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"348 269"
"Численность населения на начало периода(Человек)"	"2020 год"	"202012"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"348 117"
"Численность населения на начало периода(Человек)"	"2000 год"	"200012"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"367 684"
"Численность населения на начало периода(Человек)"	"2018 год"	"201812"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"348 685"
"Численность населения на начало периода(Человек)"	"2022 год"	"202212"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"438 207"
"Численность населения на начало периода(Человек)"	"2023 год"	"202312"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"Все группы"	"0"	"441 997"
